Nombre de la cuenta,Categoría
Depreciación construcción de sala de ventas,Acreedor
Depreciación edificios fábrica,Acreedor
Depreciación edificios de oficina,Acreedor
Depreciación edificios de sala de ventas,Acreedor
Depreciación inmuebles de fábrica,Acreedor
Depreciación inmuebles de oficina,Acreedor
Depreciación inmuebles de sala de ventas,Acreedor
Depreciación herramientas de oficina,Acreedor
Depreciación herramientas fábrica,Acreedor
Depreciación herramientas sala de ventas,Acreedor
Depreciación vehículos de reparto,Acreedor
Depreciación vehículos de fábrica,Acreedor
Depreciación vehículos de oficina,Acreedor
Depreciación vehículos de sala de ventas,Acreedor
Depreciación equipo de computación,Acreedor
Depreciación equipo de computación fábrica,Acreedor
Depreciación equipo de computación sala de ventas,Acreedor
Depreciación sistemas informáticos,Acreedor
Donativos por pagar,Acreedor
Impuesto único sobre inmuebles de sala de ventas,Acreedor
Impuesto único sobre inmuebles de administración,Acreedor
Impuesto sobre la renta,Acreedor
Impuesto sobre la renta trimestral,Acreedor
IUSI sala de ventas,Acreedor
IUSI administración,Acreedor
Retenciones judiciales,Acreedor
Retenciones administrativas,Acreedor
Retenciones bancarias,Acreedor
Retenciones fiscales,Acreedor
Retenciones municipales,Acreedor
Retenciones notariales,Acreedor
Retenciones aduanales,Acreedor
Retenciones ISR,Acreedor
Retenciones IVA,Acreedor
Retenciones ISO,Acreedor
Socio X cuenta personal,Acreedor
Socio X cuenta particular,Acreedor
Socio X cuenta promesa,Acreedor
Socio X cuenta beneficios,Acreedor
Sueldos por pagar,Acreedor
Timbre de prensa,Acreedor
Costos de producción,Debe
Combustibles y lubricantes consumidos sala de ventas,Debe
Combustibles y lubricantes consumidos fábrica,Debe
Combustibles y lubricantes consumidos administración,Debe
Gastos diversos fábrica,Debe
Gastos diversos administración,Debe
Gastos diversos sala de ventas,Debe
Gastos misceláneos fábrica,Debe
Gastos misceláneos administración,Debe
Gastos misceláneos sala de ventas,Debe
Grasas y aceites consumidos,Debe
Grasas y aceites consumidos fábrica,Debe
Grasas y aceites consumidos sala de ventas,Debe
Mano de obra directa,Debe
Materia prima,Debe
Materia prima estropeada,Debe
Materia prima inservible,Debe
Materia prima en aduana,Debe
Materia prima en tránsito,Debe
Material de empaque consumido,Debe
Material de empaque consumido en fábrica,Debe
Publicidad,Debe
Reparación y mantenimiento de maquinaria,Debe
Suministros consumidos en fábrica,Debe
Suministros consumidos en sala de ventas,Debe
Devolución y rebajas sobre ventas,Haber
Devolución y rebajas sobre compras,Haber
Devolución y rebajas sobre compras de materia prima,Haber
Cuentas malas,Pérdida
Pérdidas acumuladas,Pérdida
Pérdida de capital,Pérdida
Pérdida en negociación de activos,Pérdida
Multas y recargos,Pérdida
Bonos comprados,Ganancia
Bonos emitidos,Ganancia
Dividendos percibidos,Ganancia
Dividendos no retirados,Ganancia
Dividendos ganados,Ganancia
Dividendos por pagar,Ganancia
Dividendos por cobrar,Ganancia
Utilidad del ejercicio,Ganancia
Utilidades no distribuidas,Ganancia
Utilidades retenidas,Ganancia
Acciones por pagar,Pasivo
Acciones suscritas,Pasivo
Acreedores,Pasivo
Acreedores hipotecarios,Pasivo
Acreedores a largo plazo,Pasivo
Acreedores comerciales,Pasivo
Acreedores no comerciales,Pasivo
Acreedores diversos,Pasivo
Acreedores por préstamos,Pasivo
Acreedores por anticipos,Pasivo
Acreedores por devoluciones,Pasivo
Alquileres por pagar,Pasivo
Bonos emitidos,Pasivo
Caja chica,Pasivo
Caja y bancos,Pasivo
Capital social,Pasivo
Clientes,Pasivo
Cuentas por cobrar,Pasivo
Documentos por cobrar,Pasivo
Efectos por cobrar,Pasivo
Fletes por pagar,Pasivo
Gastos acumulados,Pasivo
Intereses por pagar,Pasivo
Letras por pagar,Pasivo
Préstamos bancarios,Pasivo
Proveedores,Pasivo
Sueldos por pagar,Pasivo
Suministros por pagar,Pasivo
Utilidades por pagar,Pasivo
